"date","NYT_dailySD","CD_dailySD","CNBC_dailySD","NYT_MSS","CD_MSS","CNBC_MSS","NYT_length","CD_length","CNBC_length","n_NYT_articles","n_CD_articles","n_CNBC_articles"
2013-04-26,NA,1.39160671485452,NA,NA,-0.521130424143543,NA,NA,3577,NA,0,0,3
2013-04-26,NA,1.39160671485452,NA,NA,-2.5753154307978,NA,NA,1429,NA,0,0,3
2013-04-26,NA,1.39160671485452,NA,NA,0.0781075172152353,NA,NA,3285,NA,0,0,3
2013-04-27,NA,NA,NA,NA,NA,0.50053503361831,NA,NA,5834,0,1,0
2013-04-29,NA,0.700581668363454,NA,NA,-1.47632770496476,1.77358125292841,NA,2997,3374,0,1,6
2013-04-29,NA,0.700581668363454,NA,NA,-0.95135547613653,NA,NA,3373,3374,0,1,6
2013-04-29,NA,0.700581668363454,NA,NA,-1.02997022301096,NA,NA,2544,3374,0,1,6
2013-04-29,NA,0.700581668363454,NA,NA,-0.881426652309789,NA,NA,3358,3374,0,1,6
2013-04-29,NA,0.700581668363454,NA,NA,0.32626354925871,NA,NA,3085,3374,0,1,6
2013-04-29,NA,0.700581668363454,NA,NA,0.0777496378652461,NA,NA,6291,3374,0,1,6
2013-05-01,NA,1.11292528292888,NA,NA,1.15485426314033,-0.167319802747731,NA,8929,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,-1.86357462544413,NA,NA,2212,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,-1.32576865725556,NA,NA,5528,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,1.18028766669776,NA,NA,3929,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,-0.530829391437673,NA,NA,3285,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,-1.12395080812605,NA,NA,2419,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,-0.461406223119089,NA,NA,2739,2811,0,1,8
2013-05-01,NA,1.11292528292888,NA,NA,0.0718100398949455,NA,NA,2510,2811,0,1,8
2013-05-02,NA,1.03770536001965,NA,NA,1.01398533316744,NA,NA,4385,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,1.03073125868231,NA,NA,5265,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,-1.56465242784305,NA,NA,2001,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,-0.236041526703473,NA,NA,2277,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,0.551679119937332,NA,NA,4314,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,0.941011828275565,NA,NA,4953,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,-1.21105377831665,NA,NA,2535,NA,0,0,8
2013-05-02,NA,1.03770536001965,NA,NA,-0.535638847600667,NA,NA,3304,NA,0,0,8
2013-05-03,NA,1.19652209948427,NA,NA,1.77194283420943,NA,NA,7527,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,-0.697003730838471,NA,NA,3327,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,-1.28775474493935,NA,NA,3407,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,0.453105405437284,NA,NA,3345,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,-0.271602200030097,NA,NA,4837,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,-1.79858310468504,NA,NA,1927,NA,0,0,7
2013-05-03,NA,1.19652209948427,NA,NA,0.334205729314471,NA,NA,3867,NA,0,0,7
2013-05-05,NA,NA,NA,NA,0.924466090424221,NA,NA,4180,NA,0,0,1
2013-05-06,NA,2.43479433475868,NA,NA,1.21710626975724,0.0836218845895917,NA,4804,4652,0,1,2
2013-05-06,NA,2.43479433475868,NA,NA,-2.22621290004767,NA,NA,2828,4652,0,1,2
2013-05-07,NA,1.67444154677482,NA,NA,0.242968382859161,NA,NA,4213,NA,0,0,6
2013-05-07,NA,1.67444154677482,NA,NA,-1.40530156969281,NA,NA,2196,NA,0,0,6
2013-05-07,NA,1.67444154677482,NA,NA,-0.209147110053605,NA,NA,2522,NA,0,0,6
2013-05-07,NA,1.67444154677482,NA,NA,-2.08022753560705,NA,NA,1904,NA,0,0,6
2013-05-07,NA,1.67444154677482,NA,NA,2.74563680874331,NA,NA,12610,NA,0,0,6
2013-05-07,NA,1.67444154677482,NA,NA,0.316994904752875,NA,NA,4269,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,2.92105994295018,NA,NA,13570,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,1.12814316110789,NA,NA,7310,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,-0.191581694179162,NA,NA,2493,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,-0.24451569190848,NA,NA,2254,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,-0.820267882900427,NA,NA,2543,NA,0,0,6
2013-05-08,NA,1.49105615459383,NA,NA,-1.02948855198649,NA,NA,2440,NA,0,0,6
2013-05-09,NA,0.513373201082136,NA,NA,-0.170366025304166,NA,NA,3081,NA,0,0,5
2013-05-09,NA,0.513373201082136,NA,NA,-1.19220776487164,NA,NA,8036,NA,0,0,5
2013-05-09,NA,0.513373201082136,NA,NA,0.0308007376939451,NA,NA,2592,NA,0,0,5
2013-05-09,NA,0.513373201082136,NA,NA,0.0507963916729105,NA,NA,2622,NA,0,0,5
2013-05-09,NA,0.513373201082136,NA,NA,-0.434920774052665,NA,NA,7186,NA,0,0,5
2013-05-10,NA,1.43392402231656,NA,NA,1.84828312977684,NA,NA,4947,NA,0,0,6
2013-05-10,NA,1.43392402231656,NA,NA,-1.9689200133865,NA,NA,3243,NA,0,0,6
2013-05-10,NA,1.43392402231656,NA,NA,1.68441704781913,NA,NA,7770,NA,0,0,6
2013-05-10,NA,1.43392402231656,NA,NA,-0.305557190310843,NA,NA,2203,NA,0,0,6
2013-05-10,NA,1.43392402231656,NA,NA,0.119430942963368,NA,NA,2752,NA,0,0,6
2013-05-10,NA,1.43392402231656,NA,NA,-0.436584617844385,NA,NA,6833,NA,0,0,6
2013-05-13,NA,0.766989473503255,NA,NA,-1.5790541562484,NA,NA,2395,NA,0,0,5
2013-05-13,NA,0.766989473503255,NA,NA,-0.305080050373058,NA,NA,4231,NA,0,0,5
2013-05-13,NA,0.766989473503255,NA,NA,-0.864201932693231,NA,NA,3375,NA,0,0,5
2013-05-13,NA,0.766989473503255,NA,NA,-1.5273595161765,NA,NA,3629,NA,0,0,5
2013-05-13,NA,0.766989473503255,NA,NA,0.184734137007288,NA,NA,4138,NA,0,0,5
2013-05-14,NA,1.12927540230146,NA,NA,0.811210912494913,NA,NA,4139,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,-0.328996507237573,NA,NA,3347,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,1.26570268768244,NA,NA,4852,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,-0.016520399607676,NA,NA,2685,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,-2.19261747501096,NA,NA,2008,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,-0.618275680376814,NA,NA,2800,NA,0,0,7
2013-05-14,NA,1.12927540230146,NA,NA,-0.758948993887726,NA,NA,4015,NA,0,0,7
2013-05-15,NA,0.725006333957522,NA,NA,0.0882342622944305,NA,NA,7837,NA,0,0,6
2013-05-15,NA,0.725006333957522,NA,NA,-1.26015662099924,NA,NA,2426,NA,0,0,6
2013-05-15,NA,0.725006333957522,NA,NA,-1.11203909289875,NA,NA,4373,NA,0,0,6
2013-05-15,NA,0.725006333957522,NA,NA,-1.18109653718073,NA,NA,6793,NA,0,0,6
2013-05-15,NA,0.725006333957522,NA,NA,0.361525262026327,NA,NA,3803,NA,0,0,6
2013-05-15,NA,0.725006333957522,NA,NA,-0.135171564422666,NA,NA,5726,NA,0,0,6
2013-05-16,NA,0.81336778857117,NA,NA,-0.251906255796094,NA,NA,2558,NA,0,0,7
